순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
3,4,횡운골,한,수,2세,52,32,(-2)이철경,이관호,말사모,1,485(-1),1.4,1.1,망사
4,1,정상대길,한,거,4세,55,31,신지,박희철,♠정동진,¾,461(-1),4.2,1.4,망사눈
5,2,콜미제이케이,한,거,4세,*52,22,이기회,임봉춘,임정균,3,476(7),91.1,11.9,눈가면
6,3,굿모닝퓨전,한,암,5세,53,30,박병윤,최상식,♠장재형,2,462(-2),13.4,1.9,
7,8,백두광장,한,거,4세,52,25,안토니오,최영주,함운일,4,473(-7),29.2,3.8,망사눈
8,7,뉴월드스타,한,거,5세,51,26,(-4)김효정,홍대유,박태준,½,519(-4),44.9,7.6,
9,10,★킹어헤드,한,거,5세,56,33,얀,허재영,조금제,¾,466(-5),33.2,3.2,망사눈
10,9,만월문,한,암,5세,*52,21,박현우,김양선,홍평우,4,398(7),97.2,17.1,
1,5,두만강,한,암,4세,*52,25,이찬호,김점오,문창완,,457(-6),8.4,2.2,망사눈
2,2,청수돌풍,한,거,3세,56,33,송재철,박대흥,청수,1½,495(4),2.5,1.2,"망사눈+, 승인재갈+, 망사-"
3,4,윙플라이,한,암,4세,52,28,이혁,신삼영,한영석,1½,490(16),23.4,5.4,
4,8,브레이브업,한,암,3세,53.5,31,조재로,배휴준,♠(주)녹원목장,6,460(1),3.2,1.3,"망사, 승인재갈+, 혀끈+"
5,10,참조아,한,암,4세,52.5,29,김정준,박병일,이용대,머리,449(0),33.2,5.7,망사눈
6,1,본위너,한,수,4세,51.5,32,(-4)김덕현,박재우,김정성,2½,461(7),4.7,1.8,
7,7,개척자,한,거,4세,54.5,30,임기원,박윤규,박덕희,1½,459(4),16.3,2.6,망사눈
8,3,곤설,한,거,5세,*52,21,이동국,서범석,지원철,½,452(18),51.1,8.9,
9,6,마이챔프,미,수,3세,57,35,부민호,박희철,류순곤,목,479(2),30.4,5.1,"망사눈, 승인재갈"
10,9,정상제일,한,거,5세,51,21,신지,박희철,♠정동진,1¾,471(3),63.1,18.4,"망사눈, 승인재갈"
1,3,진격의천마,한,수,3세,51,40,(-2)이철경,서인석,서창식,,438(-7),4.3,1.7,망사눈
2,10,허리케인블루,한,거,4세,55.5,47,이준철,김대근,♠고광숙,9,475(0),5.9,2.2,
3,5,신라화랑,한,수,3세,56.5,49,송재철,안병기,박재범,¾,498(-1),4.2,1.7,망사눈
4,8,슈퍼캡틴,한,거,3세,51,38,박태종,정호익,♠박정재,1½,470(4),14.2,4.1,"망사눈, 승인재갈"
5,2,차밍굿,한,수,3세,55,46,안토니오,김양선,강석대,코,503(8),9.4,2.7,"망사눈, 승인재갈"
6,4,와이키키,한,암,4세,55,49,박병윤,하재흥,고양진,1¾,487(1),5.5,1.9,
7,7,속도신화,한,암,4세,51,39,임기원,안해양,김지훈,½,461(-2),23.2,4.9,망사눈
8,1,스트롱필드,한,수,6세,*52,37,이동국,서범석,우빈레저,목,502(0),31.1,6.4,"망사눈, 승인재갈"
9,9,엄지강호,한,암,5세,54.5,48,이찬호,김순근,권인택,2,468(9),17.8,4.3,
